route_id,trip_id,service_id,direction_id,trip_headsign
RED,RED-WK-0-95-13.57-MYP,WK,0,RDG2
RED,RED-WK-0-96-14.04-MYP,WK,0,RDG2
RED,RED-WK-0-97-14.11-MYP,WK,0,RDG2
RED,RED-WK-0-98-14.18-MYP,WK,0,RDG2
RED,RED-WK-0-99-14.24-MYP,WK,0,RDG2
RED,RED-WK-0-100-14.31-MYP,WK,0,RDG2
RED,RED-WK-0-101-14.38-MYP,WK,0,RDG2
RED,RED-WK-0-102-14.45-MYP,WK,0,RDG2
RED,RED-WK-0-103-14.51-MYP,WK,0,RDG2
RED,RED-WK-0-104-14.58-MYP,WK,0,RDG2
RED,RED-WK-0-105-15.05-MYP,WK,0,RDG2
RED,RED-WK-0-106-15.12-MYP,WK,0,RDG2
RED,RED-WK-0-107-15.18-MYP,WK,0,RDG2
RED,RED-WK-0-108-15.25-MYP,WK,0,RDG2
RED,RED-WK-0-109-15.32-MYP,WK,0,RDG2
RED,RED-WK-0-110-15.39-MYP,WK,0,RDG2
RED,RED-WK-0-111-15.45-MYP,WK,0,RDG2
RED,RED-WK-0-112-15.52-MYP,WK,0,RDG2
RED,RED-WK-0-113-15.59-MYP,WK,0,RDG2
RED,RED-WK-0-114-16.06-MYP,WK,0,RDG2
RED,RED-WK-0-115-16.12-MYP,WK,0,RDG2
RED,RED-WK-0-116-16.18-MYP,WK,0,RDG2
RED,RED-WK-0-117-16.21-MYP,WK,0,RDG2
RED,RED-WK-0-118-16.26-MYP,WK,0,RDG2
RED,RED-WK-0-119-16.32-MYP,WK,0,RDG2
RED,RED-WK-0-120-16.35-MYP,WK,0,RDG2
RED,RED-WK-0-121-16.39-MYP,WK,0,RDG2
RED,RED-WK-0-122-16.45-MYP,WK,0,RDG2
RED,RED-WK-0-123-16.48-MYP,WK,0,RDG2
RED,RED-WK-0-124-16.53-MYP,WK,0,RDG2
RED,RED-WK-0-125-16.59-MYP,WK,0,RDG2
RED,RED-WK-0-126-17.02-MYP,WK,0,RDG2
RED,RED-WK-0-127-17.06-MYP,WK,0,RDG2
RED,RED-WK-0-128-17.12-MYP,WK,0,RDG2
RED,RED-WK-0-129-17.15-MYP,WK,0,RDG2
RED,RED-WK-0-130-17.20-MYP,WK,0,RDG2
RED,RED-WK-0-131-17.26-MYP,WK,0,RDG2
RED,RED-WK-0-132-17.29-MYP,WK,0,RDG2
RED,RED-WK-0-133-17.33-MYP,WK,0,RDG2
RED,RED-WK-0-134-17.39-MYP,WK,0,RDG2
RED,RED-WK-0-135-17.42-MYP,WK,0,RDG2
RED,RED-WK-0-136-17.47-MYP,WK,0,RDG2
RED,RED-WK-0-137-17.51-MYP,WK,0,RDG2
RED,RED-WK-0-138-17.56-MYP,WK,0,RDG2
RED,RED-WK-0-139-18.00-MYP,WK,0,RDG2
RED,RED-WK-0-140-18.05-MYP,WK,0,RDG2
RED,RED-WK-0-141-18.09-MYP,WK,0,RDG2
RED,RED-WK-0-142-18.14-MYP,WK,0,RDG2
RED,RED-WK-0-143-18.18-MYP,WK,0,RDG2
RED,RED-WK-0-144-18.23-MYP,WK,0,RDG2
RED,RED-WK-0-145-18.27-MYP,WK,0,RDG2
RED,RED-WK-0-146-18.32-MYP,WK,0,RDG2
RED,RED-WK-0-147-18.36-MYP,WK,0,RDG2
RED,RED-WK-0-148-18.41-MYP,WK,0,RDG2
RED,RED-WK-0-149-18.45-MYP,WK,0,RDG2
RED,RED-WK-0-150-18.50-MYP,WK,0,RDG2
RED,RED-WK-0-151-18.54-MYP,WK,0,RDG2
RED,RED-WK-0-152-18.59-MYP,WK,0,RDG2
RED,RED-WK-0-153-19.03-MYP,WK,0,RDG2
RED,RED-WK-0-154-19.08-MYP,WK,0,RDG2
RED,RED-WK-0-155-19.12-MYP,WK,0,RDG2
RED,RED-WK-0-156-19.17-MYP,WK,0,RDG2
RED,RED-WK-0-157-19.21-MYP,WK,0,RDG2
RED,RED-WK-0-158-19.26-MYP,WK,0,RDG2
RED,RED-WK-0-159-19.30-MYP,WK,0,RDG2
RED,RED-WK-0-160-19.35-MYP,WK,0,RDG2
RED,RED-WK-0-161-19.39-MYP,WK,0,RDG2
RED,RED-WK-0-162-19.44-MYP,WK,0,RDG2
RED,RED-WK-0-163-19.48-MYP,WK,0,RDG2
RED,RED-WK-0-164-19.53-MYP,WK,0,RDG2
RED,RED-WK-0-165-19.57-MYP,WK,0,RDG2
RED,RED-WK-0-166-20.02-MYP,WK,0,RDG2
RED,RED-WK-0-167-20.06-MYP,WK,0,RDG2
RED,RED-WK-0-168-20.11-MYP,WK,0,RDG2
RED,RED-WK-0-169-20.15-MYP,WK,0,RDG2
RED,RED-WK-0-170-20.20-MYP,WK,0,RDG2
RED,RED-WK-0-171-20.24-MYP,WK,0,RDG2
RED,RED-WK-0-172-20.29-MYP,WK,0,RDG2
RED,RED-WK-0-173-20.36-MYP,WK,0,RDG2
RED,RED-WK-0-174-20.42-MYP,WK,0,RDG2
RED,RED-WK-0-175-20.49-MYP,WK,0,RDG2
RED,RED-WK-0-176-20.56-MYP,WK,0,RDG2
RED,RED-WK-0-177-21.03-MYP,WK,0,RDG2
RED,RED-WK-0-178-21.09-MYP,WK,0,RDG2
RED,RED-WK-0-179-21.16-MYP,WK,0,RDG2
RED,RED-WK-0-180-21.23-MYP,WK,0,RDG2
RED,RED-WK-0-181-21.32-MYP,WK,0,RDG2
RED,RED-WK-0-182-21.36-MYP,WK,0,RDG2
RED,RED-WK-0-183-21.43-MYP,WK,0,RDG2
RED,RED-WK-0-184-21.50-MYP,WK,0,RDG2
